               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.016692,           0.0087696,                   0,              0.9992,             0.99333,               0.995,              0.7934,           0.0052636,           0.0025426,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.018968,           0.0086083,                   0,             0.99921,                   1,               0.995,             0.81878,           0.0050205,           0.0024141,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.016561,           0.0083389,                   0,             0.99952,                   1,               0.995,             0.81024,           0.0054778,           0.0022817,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.015986,           0.0085399,                   0,             0.99951,                   1,               0.995,             0.80337,           0.0054026,           0.0024593,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.014593,           0.0085755,                   0,                   1,              0.9997,               0.995,             0.81089,           0.0049141,           0.0023462,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.018639,           0.0083395,                   0,                   1,              0.9996,               0.995,             0.81929,           0.0049481,           0.0023796,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.017256,             0.00819,                   0,                   1,             0.99968,               0.995,             0.82092,           0.0051928,           0.0024719,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.019014,           0.0079692,                   0,                   1,             0.99953,               0.995,             0.81747,           0.0051091,           0.0024392,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.017452,           0.0077875,                   0,                   1,             0.99889,               0.995,             0.81431,           0.0048813,           0.0024237,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.018019,           0.0081537,                   0,             0.99337,             0.99864,               0.995,             0.81795,           0.0047673,           0.0023554,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.018008,           0.0081106,                   0,             0.99903,             0.99333,               0.995,             0.82297,           0.0049955,           0.0023347,                   0,            0.008416,            0.008416,            0.008416
